path,category,layer,total_hits,jorge,business_360,revolutia,monk,people,clients_360,notion_ids,hardcoded_paths,cal_com,personal_email
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/16-04-2026.md,PERSONAL,L5-journal,30,2,5,4,5,0,14,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/19-02-2026.md,PERSONAL,L5-journal,30,3,8,15,0,0,4,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/22-04-2026.md,PERSONAL,L5-journal,30,4,2,4,2,2,16,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/30-04-2026.md,PERSONAL,L5-journal,30,1,2,1,3,3,20,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/03. Sistema/backups/_Tasks.backup-2026-05-05-1845.md,PERSONAL,other,30,1,11,4,3,1,10,0,0,0,0
/Users/jorgeguamis/Desktop/.claude/skills/create-proposal/SKILL.md,PERSONAL,L2-skill,29,12,10,0,0,0,7,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/.claude/skills/create-proposal/SKILL.md,PERSONAL,L2-skill,29,12,10,0,0,0,7,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/clientes/archivo/Spain Is Excellence/Prep Reunión SIE — 20-03-2026.md,PERSONAL,L5-context-file,29,24,1,0,0,0,4,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_Monk/roadmaps/Roadmap Financiación.md,PERSONAL,L5-context-file,29,4,0,0,25,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_revolutia/formacion/capacitacion-claude-abril-2026/_plan-nueva-estructura-jornada.md,PERSONAL,L5-context-file,29,9,0,20,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_revolutia/proyectos/Auditoría de Procesos/consolidado/Oportunidades IA.md,PERSONAL,L5-context-file,29,24,0,4,0,1,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/18-04-2026.md,PERSONAL,L5-journal,29,0,7,9,3,0,10,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/26-01-2026.md,PERSONAL,L5-journal,29,0,4,15,0,5,5,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/clientes/activos/Burrito Blanco/03. Upsell Imágenes IA/Burrito Blanco - Propuesta 360º Imágenes IA.md,PERSONAL,L5-context-file,28,3,2,0,0,13,10,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/clientes/archivo/Spain Is Excellence/SIE - Guion Completo Formacion.md,PERSONAL,L5-context-file,28,18,2,0,0,6,2,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/clientes/leads (pipeline)/INCOTEC/INCOTEC - Propuesta.md,PERSONAL,L5-context-file,28,5,6,0,0,0,16,0,0,1,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_Monk/Monk.md,PERSONAL,L5-context-file,28,7,2,1,14,4,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_Monk/legal/Monk x Jorge - Propuesta Asociación - 09-04-2026.md,PERSONAL,L5-context-file,28,3,4,1,18,2,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_Monk/operativa/Reporte Semanal Monk - 17-04-2026.md,PERSONAL,L5-context-file,28,16,0,0,11,1,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_revolutia/clases/2026-05-06 - Jornada Bienvenida - Guion Detallado Jorge.md,PERSONAL,L5-context-file,28,17,3,5,0,3,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/01-04-2026.md,PERSONAL,L5-journal,28,0,2,9,0,3,14,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/11-03-2026.md,PERSONAL,L5-journal,28,0,7,3,0,0,18,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/13-03-2026.md,PERSONAL,L5-journal,28,1,8,5,0,0,14,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/14-04-2026.md,PERSONAL,L5-journal,28,3,6,1,6,2,10,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/16-01-2026.md,PERSONAL,L5-journal,28,0,13,12,0,2,1,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/30-03-2026.md,PERSONAL,L5-journal,28,3,3,3,0,0,19,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/_Tasks.md,PERSONAL,other,28,2,10,4,4,1,7,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_revolutia/proyectos/Auditoría de Procesos/empleados/Fabio Martin.md,PERSONAL,L5-context-file,27,20,0,7,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_revolutia/proyectos/Auditoría de Procesos/iniciativas/Doc Maestro Lanzamiento/04 - Mapeo Hormozi-Revolutia.md,PERSONAL,L5-context-file,27,1,0,26,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_revolutia/proyectos/Revisión de Avatares/AVATARES REVOLUTIA - DOCUMENTO MAESTRO.md,PERSONAL,L5-context-file,27,0,0,27,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/02-04-2026.md,PERSONAL,L5-journal,27,0,3,7,0,2,15,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/14-01-2026.md,PERSONAL,L5-journal,27,1,6,18,0,1,1,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/15-04-2026.md,PERSONAL,L5-journal,27,4,7,5,5,1,5,0,0,0,0
/Users/jorgeguamis/Desktop/.claude/skills/process-youtube-video/SKILL.md,PERSONAL,L2-skill,26,7,4,15,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/.claude/skills/process-youtube-video/SKILL.md,PERSONAL,L2-skill,26,7,4,15,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/clientes/archivo/SINBLAT/SINBLAT - Análisis Sales Call.md,PERSONAL,L5-context-file,26,24,2,0,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/sops/SOP - Onboarding Cliente.md,PERSONAL,L5-context-file,26,12,14,0,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/05-01-2026.md,PERSONAL,L5-journal,26,0,12,12,0,0,2,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/02. Weekly/2026-W19.md,PERSONAL,L5-journal,26,3,2,3,6,2,10,0,0,0,0
/Users/jorgeguamis/Desktop/.claude/context/tools.md,PERSONAL,L1-context,25,8,5,9,0,0,0,0,1,1,1
/Users/jorgeguamis/Desktop/Life OS/.claude/context/tools.md,PERSONAL,L1-context,25,8,5,9,0,0,0,0,1,1,1
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/clientes/archivo/Spain Is Excellence/Spain Is Excellence — Discovery Call Script.md,PERSONAL,L5-context-file,25,2,2,1,0,4,16,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_Monk/Planning W17 - 20-04-2026.md,PERSONAL,L5-context-file,25,12,0,0,13,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/26-04-2026.md,PERSONAL,L5-journal,25,4,2,2,4,0,13,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/29-03-2026.md,PERSONAL,L5-journal,25,1,2,11,0,2,9,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/clientes/archivo/Everlife Bio/Everlife Bio — Discovery Call.md,PERSONAL,L5-context-file,24,0,8,16,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/oferta/360º Imperium Offer Worksheet — Completed.md,PERSONAL,L5-context-file,24,4,13,0,0,0,7,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/sops/SOP - Follow-up Pipeline.md,PERSONAL,L5-context-file,24,22,2,0,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/13-01-2026.md,PERSONAL,L5-journal,24,1,12,10,0,0,1,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/projects/personal-profile-funnel/_README.md,PERSONAL,L5-context-file,24,8,11,5,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/projects/personal-profile-funnel/strategy/Nick Setting Analysis.md,PERSONAL,L5-context-file,24,12,8,4,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/.claude/skills/360-copy/SKILL.md,PERSONAL,L2-skill,23,11,10,0,0,0,2,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/.claude/skills/360-copy/SKILL.md,PERSONAL,L2-skill,23,11,10,0,0,0,2,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/oferta/360º Offer Architecture — Grand Slam Redesign.md,PERSONAL,L5-context-file,23,2,12,0,0,0,9,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/01-05-2026.md,PERSONAL,L5-journal,23,1,2,1,7,1,11,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/04-02-2026.md,PERSONAL,L5-journal,23,0,7,3,0,0,13,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/11-01-2026.md,PERSONAL,L5-journal,23,0,10,13,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/05. Annual/2025 Annual Review.md,PERSONAL,L5-journal,23,0,7,13,0,3,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/projects/personal-profile-funnel/Personal Profile Funnel.md,PERSONAL,L5-context-file,23,9,9,5,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/.claude/skills/selenia-nightly-report/SKILL.md,PERSONAL,L2-skill,22,13,0,0,0,0,1,0,8,0,0
/Users/jorgeguamis/Desktop/Life OS/.claude/skills/selenia-nightly-report/SKILL.md,PERSONAL,L2-skill,22,13,0,0,0,0,1,0,8,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/clientes/activos/Cuchillas Castillo/05. Sensibilización/Recap Sesión 24-03-2026.md,PERSONAL,L5-context-file,22,16,1,1,0,1,3,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/clientes/archivo/Spain Is Excellence/Spain Is Excellence — Propuesta Formacion.md,PERSONAL,L5-context-file,22,3,6,0,0,0,13,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_revolutia/formacion/capacitacion-claude-abril-2026/00-plan-formacion-claude-equipo-revolutia.md,PERSONAL,L5-context-file,22,9,0,13,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_revolutia/proyectos/Auditoría de Procesos/iniciativas/Doc Maestro Lanzamiento/01 - Masterdoc Template.md,PERSONAL,L5-context-file,22,16,0,6,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_revolutia/proyectos/Vita x Revolutia/Propuesta de colaboración Revolutia Vita Community.md,PERSONAL,L5-context-file,22,1,0,21,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/06-01-2026.md,PERSONAL,L5-journal,22,0,11,7,0,0,4,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/08-01-2026.md,PERSONAL,L5-journal,22,0,7,8,0,0,7,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/03. Monthly/2026-02.md,PERSONAL,L5-journal,22,1,8,7,0,0,6,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/relaciones/Adriana - Prep Call 06-05-2026.md,PERSONAL,L5-context-file,22,0,0,2,0,5,15,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/clientes/activos/Cuchillas Castillo/04. Diagnóstico/Auditoría de Procesos/consolidado/Roadmap.md,PERSONAL,L5-context-file,21,4,11,0,0,0,6,0,0,0,0
